cluster,size,top_words,top_companies
0,61,"tax, rate, tax rate, effective, effective tax, year, expected, income, higher, 2026, 2025, range, cash, million, guidance","Enerpac, Lb Foster, Pnc, Ofg Bancorp, Manhattan, Alliancebernstein, Rpc, Exelixis, Atmus Filtration, Huntington"
1,91,"year, million, ratio, premiums, insurance, premium, written, net, quarter, combined, combined ratio, segment, growth, loss, prior","Old Republic, Globe Life, Selective, Arch Capital, Hamilton, Hippo, James River, Cna, Travelers, Universal"
2,33,"year, noi, store, growth, million, basis, revenue, year year, occupancy, noi growth, 000, points, property, basis points, quarter","Urban Edge, Nexpoint, Cubesmart, Frp Holdings, Sonic Automotive, Camden, Paccar, Vornado, W P Carey, Welltower"
3,97,"leasing, square, rent, lease, feet, square feet, year, occupancy, new, million, leased, leases, 000, growth, 000 square","Vornado, Inventrust, Highwoods, Phillips Edison, Brandywine, Lxp, Kite Realty, American Assets, Kite, Hudson Pacific"
4,33,"ounces, 000, production, gold, ounce, year, 2025, silver, guidance, 000 ounces, million, aisc, cost, higher, q4","Ssr Mining, Southern Copper, Wheaton, Hudbay, Fortuna Mining, Teck, Fortuna, Buenaventura, Iamgold, Freeport"
5,109,"email, risks, email protected, protected, protected risks, email email, year, management, quarter, revenue, million, stated, higher, costs, impact","Aehr Test, Entergy, Altria, Intuit, Fidelis, Agenus, Culp, Duluth Holdings, Synchrony, Popular"
6,36,"guidance, year, share, ffo, 2025, growth, midpoint, core ffo, core, affo, million, raised, ffo share, 2026, range","Phillips Edison, Orion, Cto, Essex, American Assets, Associated Bank, Digital Realty, Udr, Federal Realty, Vici"
7,27,"year, revpar, quarter, year year, million, hotels, growth, hotel, adjusted, rmb, revenue, margin, ebitda, increase, total","Atour, Atour Lifestyle, Park Hotels, Hilton, Makemytrip, Xenia Hotels, Sunstone Hotel, Pebblebrook, Booking, Choice Hotels"
8,31,"backlog, billion, year, million, approximately, end, management, margin, year end, order, growth, services, conversion, described, backlog conversion","Ciena, Itron, 3M, Timken, Quanta, Topbuild, Knife River, Eaton, Tecnoglass, Innovate"
9,80,"billion, year, million, aum, year year, fee, quarter, management, net, fees, assets, growth, revenues, 2025, revenue","Blackstone, Apollo, Tpg, Blackrock, Patria, Gcm Grosvenor, Carlyle, T Rowe Price, Vinci Compass, Morgan Stanley"
10,187,"million, revenue, year, growth, year year, sales, segment, 2025, quarter, total, increase, driven, billion, increased, q2","Genedx, Sight Sciences, Angiodynamics, Centene, Mckesson, Bio Techne, Zoetis, Danaher, Select Medical, Neogenomics"
11,30,"patient, engagement, new, clinical, patients, palsonify, care, expansion, adoption, physician, commercial, company, community, early, health","Ptc Therapeutics, Mindmed, Waterdrop, Teladoc, Cencora, Tenon Medical, Novocure, Arrowhead, Avita Medical, Cvrx"
12,160,"phase, trial, data, clinical, study, patients, fda, 2026, pipeline, months, ii, iii, phase iii, response, expected","Arrowhead, Nuvation Bio, Anavex, Celcuity, Relmada, Kiniksa, Kymera, Axsome, Alx Oncology, Scholar Rock"
13,125,"leadership, transition, board, ceo, chief, officer, cfo, new, leadership transition, president, announced, changes, management, executive, strategic","Gilat, Hess Midstream, Udr, Arcbest, Piper Sandler, Remitly, Adeia, Xometry, Soleno, Hercules Capital"
14,40,"eps, guidance, growth, year, adjusted, eps guidance, 2025, adjusted eps, 2026, eps growth, share, core, quarter, target, core eps","Pge, Oge Energy, Abbott, Moodys, Adt, Fortive, Wec Energy, Eversource, Avery Dennison, Park Ohio"
15,90,"million, capex, capital, year, 2026, 2025, capital expenditures, expenditures, billion, expected, guidance, investment, growth, approximately, revenue","Nucor, Greenbrier, News Corp, Tanger, Firstenergy, Sandisk, Nebius, Hesai Group, Ituran, Campbells"
16,28,"weather, winter, quarter, management, operational, expected, impact, year, revenue, storm, january, sales, impacts, storms, disruptions","Wec Energy, West Fraser, Pricesmart, Cnx, Us Foods, La Z Boy, Targa Resources, Boise Cascade, Casella Waste, Standardaero"
17,60,"management, water, gas, wells, 2026, million, quarter, new, year, infrastructure, haynesville, cost, drilling, project, company","Apa, Ssr Mining, Delek Logistics, Kosmos Energy, Cnx, Black Stone, Unitil, Range, Noble, Idex"
18,77,"2026, management, revenue, year, growth, expects, think, 2025, quarter, management expects, years, outlook, continue, company, ongoing","Sify, Aersale, Netflix, Viking, Yalla, Dycom, Nasdaq, Matson, Steris, Luminar"
19,93,"management, impact, guidance, material, does, new, current, 2026, changes, planned, reported, quarter, confirmed, financial, anticipated","Commvault, Macys, Mamas Creations, Ofg Bancorp, Msci, Rpc, Old Dominion, Bank Of Hawaii, V2X, Microchip Technology"
20,52,"guidance, management, 2026, year, revenue, financial, term, 2026 guidance, financial guidance, outlook, 2025, citing, guidance 2026, uncertainty, visibility","Exelixis, Vera Bradley, Newmont, Herc, Boeing, Mediaalpha, Krystal Biotech, Anika, Cerence, Moderna"
21,25,"leverage, operating, margin, operating leverage, management, year, cost, improvements, company, second, half, expected, investments, ongoing, second half","Albertsons, Beta Bionics, Gsi Technology, Stoneco, Iradimed, Unifirst, Commvault, Renasant, Emerson, Cdw"
22,140,"margin, gross, gross margin, year, points, basis, basis points, operating, management, margins, higher, year year, mix, operating margin, points year","Myr Group, Cavco, Wd 40, Ichor, Kimberly Clark, Accuray, Roblox, Oatly, Eltek, Avantor"
23,144,"pipeline, management, new, growth, year, 2026, project, billion, expected, battery, future, development, company, capital, activity","Ameren, Enphase, Cheniere, Mdu Resources, Bkv, Bridgebio, Agenus, Heico, Stewart, Cognizant"
24,44,"management, demand, inventory, supply, market, described, ongoing, sales, quarter, pressure, consumer, customers, chain, environment, pricing","Titan Machinery, Marinemax, Rambus, Greenbrier, Strattec, 10X Genomics, Heico, Lamb Weston, Helen Of Troy, Insteel"
25,95,"headwind, headwinds, management, year, million, margin, 2026, gross, tariffs, expected, impact, guidance, quarter, revenue, gross margin","Trane, Humana, Molson Coors, Brc, Reynolds, Danaher, American Airlines, Illinois Tool Works, Vishay, Ibotta"
26,56,"middle, east, middle east, management, conflict, ongoing, geopolitical, supply, uncertainty, disruptions, global, demand, market, prices, east conflict","Extreme, Knight Swift, Bw Lpg, Drilling Tools, Navigator, Tic Solutions, Uipath, Viomi, Enerpac, Worthington Steel"
27,27,"inflation, price, cost, increases, pricing, year, cost inflation, costs, inflationary, input, management, price increases, planned, persistent, half","Mohawk, Ecolab, Rpm, Ge, Tyson Foods, Pentair, Firstenergy, Molson Coors, Bg Foods, Meritage Homes"
28,99,"tariff, tariffs, management, million, impact, cost, year, costs, 2026, ongoing, mitigation, margin, pricing, exposure, offset","W R Berkley, Thermon, Cleveland Cliffs, Teledyne, Tractor Supply, Garmin, Ethan Allen, Middleby, Carpartscom, Ingersoll Rand"
29,63,"expansion, new, growth, international, capacity, management, international expansion, ongoing, support, margin, diversification, markets, geographic, term, manufacturing","Wingstop, Icon, Canaan, Park Aerospace, Yalla, Icecure, Fuelcell, Mi Homes, Imax, Sysco"
30,29,"leverage, net, net leverage, ratio, debt, leverage ratio, company, target, ebitda, year, 3x, times, management, net debt, 5x","Adecoagro, Cion, Amcor, Petco, Transunion, Ares Capital, Csw Industrials, Lamb Weston, Avnet, Asgn"
31,42,"million, debt, refinancing, billion, 2025, notes, senior, term, capital, balance, balance sheet, sheet, cash, credit, q2","Bausch Health, First Industrial Realty Trust, Techtarget, Bankunited, Dow, Generac, Ovintiv, Five Point, Global Ship Lease, Polaris"
32,218,"cash, million, cash flow, flow, year, free cash, free, quarter, capital, operating, end, working capital, working, 2025, operating cash","Advance Auto, Mission Produce, Lockheed Martin, Dover, Quanta, Graftech, Diebold Nixdorf, Southern Copper, Fmc, Hain Celestial"
33,27,"cloud, year, customer, revenue, platform, ai, growth, expansion, key, year year, rmb billion, billion, rmb, app, partnership","Cloudflare, Freshworks, Intrusion, Calix, Arbe, Guidewire, Adt, Data I O, Mongodb, Idexx"
34,34,"growth, loan, guidance, 2026, management, loan growth, single, mid, expected, single digit, digit, income, mid single, deposit, net","Valley, Northpointe, Independent Bank, First Bancorp, Nbh Bank, Dime, Stellar Bancorp, Inter Co, Fnb, Horizon Bancorp"
35,129,"management, acquisition, strategy, opportunities, growth, focus, acquisitions, strategic, remains, market, company, activity, organic, ongoing, current","Trustmark, Eastern Bankshares, Berkshire Hills, Vertiv, Firstservice, Churchill Downs, United Rentals, Hpe, Mamas Creations, Angiodynamics"
