cluster_id,community_label,community_size,top_keywords
47,ai / management / product,338,"ai, management, product, technology, efficiency, initiatives, new, operational, company, customer, platform, adoption, driven, revenue, ai driven"
67,million / year / ebitda,269,"million, year, ebitda, adjusted, adjusted ebitda, margin, quarter, year year, revenue, segment, basis, 000, points, basis points, net"
32,cash / million / cash flow,218,"cash, million, cash flow, flow, year, free, free cash, quarter, capital, operating, end, working capital, working, 2025, operating cash"
51,gaap / million / year,198,"gaap, million, year, non, non gaap, share, operating, income, margin, quarter, net, gaap operating, year year, gross, net income"
10,million / revenue / year,187,"million, revenue, year, growth, year year, sales, segment, 2025, quarter, total, increase, driven, billion, increased, q2"
39,million / loans / loan,178,"million, loans, loan, year, quarter, credit, portfolio, total, 2025, billion, q2, growth, year year, q2 2025, net"
12,phase / trial / data,160,"phase, trial, data, clinical, study, patients, fda, 2026, pipeline, ii, iii, months, response, phase iii, expected"
23,pipeline / management / new,144,"pipeline, management, new, growth, year, 2026, project, billion, expected, battery, future, development, capital, company, opportunities"
22,margin / gross / gross margin,140,"margin, gross, gross margin, year, points, basis, basis points, operating, management, margins, higher, year year, mix, operating margin, points year"
42,share / repurchases / repurchase,139,"share, repurchases, repurchase, capital, million, share repurchases, share repurchase, management, shares, authorization, program, quarter, year, buybacks, buyback"
35,management / acquisition / strategy,129,"management, acquisition, strategy, growth, focus, opportunities, acquisitions, strategic, remains, market, activity, company, organic, ongoing, active"
13,leadership / transition / board,125,"leadership, transition, board, ceo, chief, officer, cfo, new, leadership transition, president, executive, announced, management, changes, continuity"
60,year / revenue / million,121,"year, revenue, million, segment, operating, year year, margin, segment revenue, sales, basis, billion, growth, increased, points, aerospace"
43,dividend / share / capital,120,"dividend, share, capital, return, cash, million, shareholder, management, dividends, returns, repurchases, shareholders, 2025, cash flow, flow"
70,million / guidance / adjusted,116,"million, guidance, adjusted, ebitda, revenue, 2026, adjusted ebitda, year, billion, 2025, margin, growth, expected, ebitda guidance, revenue guidance"
5,email / risks / email protected,109,"email, risks, email protected, protected risks, protected, email email, year, management, quarter, revenue, million, stated, costs, higher, impact"
28,tariff / tariffs / management,99,"tariff, tariffs, management, million, impact, cost, year, costs, 2026, ongoing, mitigation, exposure, pricing, margin, offset"
3,leasing / square / rent,97,"leasing, square, rent, lease, feet, square feet, year, occupancy, new, million, leased, leases, 000, growth, 000 square"
25,headwind / headwinds / management,95,"headwind, headwinds, management, year, million, margin, 2026, gross, expected, tariffs, guidance, impact, quarter, gross margin, revenue"
71,million / guidance / year,93,"million, guidance, year, 2026, billion, revenue, growth, operating, expected, non, revenue guidance, income, midpoint, projected, gaap"
19,management / impact / guidance,93,"management, impact, guidance, material, does, current, new, changes, 2026, planned, reported, quarter, confirmed, financial, significant"
1,year / million / ratio,91,"year, million, ratio, premiums, insurance, premium, written, net, quarter, combined, combined ratio, segment, growth, loss, prior"
15,million / capex / capital,90,"million, capex, capital, year, 2026, 2025, expenditures, capital expenditures, billion, expected, investment, guidance, growth, revenue, approximately"
53,year / revenue / million,88,"year, revenue, million, arr, year year, growth, billion, total, subscription, recurring, quarter, recurring revenue, non, saas, annual"
46,new / growth / management,83,"new, growth, management, product, expansion, engagement, value, brand, customer, focus, pricing, innovation, strategy, consumer, future"
41,capital / management / allocation,82,"capital, management, allocation, capital allocation, capital deployment, deployment, growth, organic, share, buybacks, opportunities, investment, focus, strategy, acquisitions"
9,billion / year / million,80,"billion, year, million, aum, year year, fee, quarter, management, net, fees, assets, growth, 2025, revenues, revenue"
56,q4 / q2 / q1,77,"q4, q2, q1, management, q3, revenue, quarter, expected, growth, fiscal, 2026, seasonality, sequential, 2025, performance"
18,2026 / management / revenue,77,"2026, management, revenue, year, growth, expects, quarter, think, 2025, management expects, years, company, outlook, continue, improvement"
59,million / year / revenue,74,"million, year, revenue, fy2025, fy2026, gaap, q2, margin, operating, year year, non, guidance, non gaap, adjusted, fiscal"
63,million / q4 / year,71,"million, q4, year, revenue, adjusted, margin, year year, ebitda, adjusted ebitda, basis, net, prior, million q4, loss, prior year"
58,year / revenue / million,70,"year, revenue, million, year year, sequentially, fiber, growth, quarter, 000, data, total, segment, iot, net, data center"
52,million / loss / year,64,"million, loss, year, net, operating, share, net loss, quarter, prior, loss million, 000, adjusted, operating loss, prior year, compared"
29,expansion / new / growth,63,"expansion, new, growth, international, capacity, management, international expansion, ongoing, support, margin, markets, diversification, geographic, term, future"
38,deposit / deposits / quarter,62,"deposit, deposits, quarter, year, million, cost, growth, bearing, total, basis, management, 2025, costs, points, basis points"
0,tax / rate / tax rate,61,"tax, rate, tax rate, effective, effective tax, year, expected, income, higher, 2025, 2026, million, range, cash, guidance"
17,management / water / gas,60,"management, water, gas, wells, 2026, quarter, new, million, year, haynesville, infrastructure, cost, project, permian, company"
37,million / net / quarter,59,"million, net, quarter, income, year, basis, net income, points, basis points, margin, net margin, sequentially, year year, 2025, prior"
36,capital / balance / balance sheet,59,"capital, balance, balance sheet, sheet, debt, company, cash, management, flexibility, ratio, growth, ongoing, future, leverage, equity"
62,million / revenue / year,57,"million, revenue, year, year year, quarter, total, total revenue, growth, services, sequentially, million year, 000, increase, reflecting, driven"
26,middle / east / middle east,56,"middle, east, middle east, management, conflict, ongoing, geopolitical, supply, uncertainty, disruptions, global, demand, market, prices, noted"
65,revenue / year / growth,56,"revenue, year, growth, million, organic, year year, total, revenue growth, international, billion, currency, organic growth, organic revenue, sales, constant currency"
55,million / sg / year,54,"million, sg, year, expenses, sales, expense, operating, costs, adjusted, revenue, higher, sg expenses, sg expense, year year, 000"
64,sales / million / net,53,"sales, million, net, net sales, year, growth, segment, currency, increased, basis, quarter, year year, 2025, comparable, store"
20,guidance / management / 2026,52,"guidance, management, 2026, year, financial, revenue, term, 2026 guidance, financial guidance, outlook, citing, guidance 2026, 2025, uncertainty, market"
50,million / year / adjusted,51,"million, year, adjusted, income, operating, quarter, net, adjusted operating, margin, net income, billion, operating income, revenue, share, year year"
66,ebitda / adjusted / margin,51,"ebitda, adjusted, margin, adjusted ebitda, management, ebitda margin, year, target, term, 2026, expected, cost, margin target, million, 2025"
57,sales / million / year,49,"sales, million, year, restaurant, points, basis, basis points, lower, margin, profit, higher, costs, revenue, egg, net"
24,management / inventory / demand,44,"management, inventory, demand, supply, market, described, sales, ongoing, quarter, pressure, growth, price, environment, term, pricing"
45,sales / declined / year,43,"sales, declined, year, decline, pricing, segment, retail, pressure, 10, quarter, expected, year year, attributed, consumer, trends"
31,million / debt / refinancing,42,"million, debt, refinancing, 2025, billion, notes, senior, term, balance, capital, balance sheet, cash, sheet, credit, q2"
